host,port,protocol,service,version,state
104.18.26.120,21,tcp,ftp,,filtered
104.18.26.120,22,tcp,ssh,,filtered
104.18.26.120,23,tcp,telnet,,filtered
104.18.26.120,25,tcp,smtp,,filtered
104.18.26.120,53,tcp,domain,,filtered
104.18.26.120,80,tcp,http,,open
104.18.26.120,110,tcp,pop3,,filtered
104.18.26.120,111,tcp,rpcbind,,filtered
104.18.26.120,135,tcp,msrpc,,filtered
104.18.26.120,139,tcp,netbios-ssn,,filtered
104.18.26.120,143,tcp,imap,,filtered
104.18.26.120,443,tcp,https,,open
104.18.26.120,445,tcp,microsoft-ds,,filtered
104.18.26.120,993,tcp,imaps,,filtered
104.18.26.120,995,tcp,pop3s,,filtered
104.18.26.120,1723,tcp,pptp,,filtered
104.18.26.120,3306,tcp,mysql,,filtered
104.18.26.120,3389,tcp,ms-wbt-server,,filtered
104.18.26.120,5900,tcp,vnc,,filtered
104.18.26.120,8080,tcp,http,,open
